category,subcategory,name,brand,imageUrl,isFlexible
Alimentos y bebidas,Conservas,Lentejas Aderezadas x 360 g,CASA VERDE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43399920_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Garbanzo con Tocino 425 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42226196_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Palmitos en Rodajas Gourmet Valle Fértil 450 g,VALLE FERTIL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40532157_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Sopas, cremas y bases",Mezcla para Carapulcra 150 g,PROVENZAL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10337747_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Sopas, cremas y bases",Mezcla para Olluquito 78 g,PROVENZAL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10337861_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Vinagreta a la Mostaza 340 mL,EL OLIVAR,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10389149_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Salsa vinagreta,WALIBI,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41245307_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Sopas, cremas y bases",Sopa Ramen Sabor Camarón 85 g,MARUCHAN,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40234476_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Aceites,ACEITE AEROSOL 170G,OLEICO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42654280_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,King Kong Manjar San Roque 75 g,,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40920908_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Pimienta Negra Entera 63.8 g,BADIA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40593821_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Mezcla para Torta de Chocolate 510 g,KATZEL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40444631_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Ají Panca Molido Piki Doypack x 120 g,GOYA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10174838_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Mayonesa 95 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42466686_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Fideo Canuto 250 g,GRANO DE ORO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40284991_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Ajonjolí 20 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40559389_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Salsa De Soya Champi Barcidda X 500 Ml,,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43430833_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Dulces y Caramelos,GOMAS AMBROSIA X 480GR,AMBROSOLI,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40015807_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Salsa de Ají Limo 165 gr,SPITZE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41924620_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,King Kong Manjar Piña Maní San Roque 450 g,,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40920904_1/w=500,h=500,format=jpg",true
