category,subcategory,name,brand,imageUrl,isFlexible
Alimentos y bebidas,Postres y repostería,Mini Pingüinos Marinela - 10 unidades,BIMBO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42435555_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Spaghetti 950 g,DON VITTORIO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42722378_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Alimentos y bebidas - Despensa,Tallarín Grueso Empaque 1 kg,NICOLINI,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41619614_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Harinas,Harina de Maíz Blanco Precocido 1 kg,PAN,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41058733_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,SALSA PESTO EN POLVO TOTTUSX 30 GR,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42677991_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Arroz, Legumbres y Semillas",Lenteja Costeño 500 g,COSTENO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10167792_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Sopas, cremas y bases",Sopa Instantánea Ajinomen Sabor gallina 80 g,AJINOMOTO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41074828_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Postres y repostería,Crema de Avellanas 371g,NUTELLA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42305027_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Gelatina Fresa 130 g,UNIVERSAL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43085642_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Pre Mezcla Galleta de Avena con Chispas Sabor Chocolate,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42129574_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Fideos Spaghetti Libre de Gluten 400g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42385021_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Caldo Sabor Carne Doña Gusta 6 Unidades,AJINOMOTO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/20128505_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Pastas y salsas,Fideo Codo Mediano Rayado Bolsa 235g,MOLITALIA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43081766_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,PASTA SPAGUETTI X 950G,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42987604_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Fideo Spaghetti 500 g,GRANO DE ORO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40119582_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Postres y repostería,Fourpack Gelatina Sabor Naranja Yopi 480 g,LAIVE,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43276601_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Mostaza amarilla,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41709611_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Aceites,Aceite vegetal de 900 mL,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42842306_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Mayonesa 475 g,ALACENA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10170543_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Laurel Entero 7 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40559396_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Choclo Dulce Desgranado Lata 425 g,OLIVOS DEL SUR,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43282797_1/w=500,h=500,format=jpg",true
