"brand","name","price","image","link","category","subcategory","packaging"
"No brand","Vinagre de Manzana Pack 2 Unidades","S/ 24.10","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40611905_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113712374/peru-pride-pack-vinagre-de-manzana-x112lt/113712375?exp=tottus","Alimentos y bebidas - Despensa","Vinagres, aderezos y condimentos","rigid packaging"
"TOTTUS","Pre-mezcla de galletas de avena","S/ 7","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42129575_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113929793/pre-mezcla-galletas-de-avenas-310gr/113929794?exp=tottus","Alimentos y bebidas - Despensa","Postres y repostería","flexible packaging"
"GOYA","Lasagna Lista Para Rellenar Y Hornear Molitalia 350 g","S/ 9.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40547110_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/122337611/molitalia-lasagna-lista-nueva-x350g/122337612?exp=tottus","Alimentos y bebidas - Despensa","Pastas y salsas","rigid packaging"
"UNIVERSAL","Maicena 180 g","S/ 3.70","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40167224_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/118072989/maicena-universal-180gr/118072990?exp=tottus","Alimentos y bebidas - Despensa","Harinas","flexible packaging"
"CAMPOMAR","Filete De Atún Lata 150 g","S/ 6.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43471805_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/139815379/filete-atun-aceite%C2%A0campomar%C2%A0150gr/139815380?exp=tottus","Alimentos y bebidas - Despensa","Conservas","rigid packaging"
"CAMPOMAR","Lomo De Atun En Agua Lata 150g","S/ 6.30","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43471806_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/139815381/lomo-atun-agua-campomar-x-150gr/139815382?exp=tottus","Alimentos y bebidas - Despensa","Conservas","rigid packaging"
"CAMPOMAR","Filete De Atún En Agua Y Sal Lata 150 g","S/ 6.30","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43471809_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/139815403/filete-de-atun-en-agua-y-sal-camp-x-150g/139815404?exp=tottus","Alimentos y bebidas - Despensa","Conservas","flexible packaging"
"NONGSHIM","Sopa Seafood Mito de Mar Nong Shim 125 g","S/ 6.70","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40365442_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/116029238/sopa-seafood-mixto-de-mar-x-125gr/116029239?exp=tottus","Alimentos y bebidas - Despensa","Sopas, cremas y bases","flexible packaging"
"PACASMAYO","Arroz Añejo 750 g","S/ 4.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43254710_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/128324182/arroz-anejo-pacasmayo-750g/128324183?exp=tottus","Alimentos y bebidas - Despensa","Arroz, Legumbres y Semillas","flexible packaging"
"HELLMANN'S","Hellmanns Mayonesa Original Doypack 475 g","S/ 14.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43254705_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/128324177/hellmanns-mayonesa-original-doypack-475g/128324180?exp=tottus","Alimentos y bebidas - Despensa","Pastas y salsas","flexible packaging"
